tokenized,topic
"['really', 'fast', 'shipping', 'option', 'great', 'broke', 'excellent', 'condition', 'described', 'screen', 'one', 'needle', 'pin', 'scratch', 'literally', 'teeny', 'tiny', 'dot', 'less', 'speck', 'dust', 'one', 'scratch', 'less', 'mm', 'incredible', 'expect', 'wear', 'tear', 'way', 'better', 'expectation', 'experience', 'buying', 'refurbished', 'phone', 'pleased', 'described', 'better', 'purchasing', 'seller', 'great', 'price', 'review', 'page', 'way', 'work', 'like', 'brand', 'new', 'battery', 'life', 'came', 'charger', 'box', 'chord', 'nice', 'include', 'amazing', 'deal', 'already', 'would', 'recommend', 'anyone', 'buy', 'eyeing', 'another', 'family', 'thank', 'much', 'seller']",1
"['hardly', 'believe', 'refurbished', 'seems', 'brand', 'new', 'bought', 'refurbished', 'electronics', 'usually', 'hang', 'phone', 'quit', 'working', 'buy', 'new', 'one', 'wireless', 'provider', 'time', 'wanted', 'unlocked', 'look', 'new', 'function', 'perfectly', 'reasonably', 'priced', 'unlocked', 'allow', 'change', 'wireless', 'provider', 'setting', 'esim', 'card', 'bit', 'complicated', 'think', 'easy', 'think', 'something', 'working', 'first', 'maybe', 'depends', 'wireless', 'provider', 'though', 'daughter', 'help', 'work', 'great']",1
"['worst', 'battery', 'life', 'ever', 'owned', 'owned', 'iphones', 'since', 'first', 'version', 'released', 'year', 'second', 'bought', 'renewed', 'store', 'first', 'one', 'bought', 'december', 'could', 'happier', 'arrived', 'brand', 'new', 'condition', 'performed', 'recommendation', 'friend', 'checked', 'battery', 'health', 'charging', 'month', 'thrilled', 'absolutely', 'loved', 'never', 'single', 'problem', 'july', 'year', 'dropped', 'beyond', 'immediately', 'went', 'back', 'amazon', 'renewed', 'store', 'purchased', 'another', 'experience', 'first', 'one', 'arrived', 'new', 'looking', 'condition', 'exactly', 'like', 'one', 'bought', 'december', 'scratched', 'anything', 'really', 'noticeable', 'seemed', 'worn', 'little', 'bit', 'fully', 'understood', 'renewed', 'cosmetic', 'issue', 'important', 'including', 'color', 'case', 'tell', 'color', 'look', 'battery', 'health', 'charging', 'first', 'got', 'day', 'ago', 'look', 'two', 'week', 'ago', 'said', 'thought', 'ok', 'renewed', 'going', 'battery', 'live', 'looked', 'today', 'battery', 'health', 'dying', 'fully', 'charged', 'dy', 'within', 'completely', 'set', 'optimized', 'battery', 'lost', 'email', 'message', 'middle', 'composing', 'middle', 'important', 'call', 'dy', 'simply', 'fully', 'charged', 'hour', 'thought', 'would', 'fine', 'hour', 'total', 'shoulder', 'replacement', 'surgery', 'week', 'ago', 'doctor', 'office', 'yesterday', 'first', 'appointment', 'died', 'middle', 'thought', 'hour', 'left', 'would', 'plug', 'wait', 'come', 'back', 'alive', 'could', 'call', 'doctor', 'back', 'hopefully', 'wait', 'half', 'hour', 'losing', 'place', 'top', 'also', 'issue', 'touchscreen', 'glitchy', 'sometimes', 'tap', 'thing', 'several', 'time', 'get', 'said', 'since', 'first', 'version', 'came', 'year', 'always', 'loved', 'iphones', 'continue', 'user', 'rest', 'way', 'reflection', 'iphones', 'amazing', 'fantastic', 'piece', 'think', 'got', 'bad', 'one', 'first', 'time', 'checked', 'november', 'return', 'returning', 'problem', 'meantime', 'expected', 'buy', 'new', 'one', 'get', 'shipped', 'transfer', 'information', 'new', 'one', 'return', 'one', 'extremely', 'hard', 'financially', 'actually', 'still', 'paying', 'amazon', 'prime', 'american', 'express', 'card', 'return', 'wait', 'refund', 'issued', 'buy', 'another', 'wait', 'sent', 'would', 'least', 'week', 'interim', 'know', 'day', 'practical', 'also', 'several', 'medical', 'said', 'total', 'shoulder', 'replacement', 'surgery', 'last', 'monday', 'september', 'several', 'upcoming', 'follow', 'appointment', 'physical', 'therapy', 'also', 'several', 'medical', 'issue', 'definitely', 'require', 'know']",1
"['ordered', 'excellent', 'condition', 'excellent', 'like', 'described', 'besides', 'little', 'dent', 'bottom', 'corner', 'obviously', 'interfere', 'functionality', 'wise', 'look', 'flawless', 'upon', 'unboxing', 'single', 'scratch', 'battery', 'life', 'received', 'really', 'good', 'battery', 'life', 'beyond', 'expecting', 'charge', 'really', 'fast', 'charging', 'cable', 'already', 'laying', 'around', 'old', 'previous', 'phone', 'problem', 'connecting', 'courier', 'honestly', 'complaint', 'end', 'major', 'steal', 'pleased', 'purchase', 'seller', 'thinking', 'purchasing', 'specific', 'seller', 'highly', 'recommend', 'disappointed']",2
"['good', 'far', 'phone', 'battery', 'healt', 'condition', 'good', 'scratch', 'seems', 'working', 'well', 'screen', 'look', 'great', 'thing', 'would', 'say', 'make', 'difference', 'camera', 'little', 'visible', 'wear', 'tear', 'scared', 'order', 'review', 'werent', 'great', 'im', 'glad']",0
"['price', 'quality', 'great', 'size', 'perfect', 'screen', 'work', 'great', 'charge', 'fine', 'good', 'color', 'brightness', 'would', 'get', 'refurbished', 'amazon']",0
"['great', 'great', 'condition', 'battery', 'health', 'bit', 'low', 'great', 'condition', 'work', 'well', 'trouble', 'setting', 'id', 'upgraded', 'previously', 'disconnected', 'previous', 'line', 'longer', 'number', 'unfortunately', 'old', 'number', 'still', 'connected', 'every', 'time', 'would', 'try', 'use', 'id', 'connected', 'would', 'send', 'confirmation', 'code', 'number', 'way', 'using', 'number', 'create', 'new', 'id', 'email', 'everything', 'work', 'fine', 'purchased', 'yellow', 'option', 'love', 'color', 'cute']",2
"['reading', 'review', 'decided', 'go', 'amazon', 'renewed', 'premium', 'looked', 'like', 'new', 'without', 'scratch', 'unusual', 'wear', 'transferring', 'information', 'old', 'one', 'updated', 'apps', 'work', 'flawlessly', 'found', 'two', 'thing', 'wrong', 'really', 'wrong', 'come', 'kind', 'instruction', 'battery', 'life', 'percent', 'hoping', 'higher', 'battery', 'life', 'pretty', 'satisfied', 'purchase']",0
"['really', 'really', 'satisfied', 'purchase', 'destroyed', 'want', 'spend', 'money', 'new', 'one', 'looked', 'best', 'quality', 'price', 'could', 'find', 'took', 'best', 'buy', 'verified', 'part', 'kind', 'condensation', 'something', 'inside', 'camera', 'lens', 'seem', 'interfere', 'photo', 'use', 'guy', 'future']",2
"['far', 'thing', 'bug', 'fact', 'warrant', 'water', 'resistance', 'new', 'certified', 'would', 'mean', 'absolutely', 'worked', 'renewed', 'third', 'party', 'vender', 'day', 'fine', 'battery', 'life', 'last', 'night', 'around', 'oclock', 'fully', 'charged', 'little', 'mild', 'use', 'camera', 'act', 'little', 'scanning', 'id', 'identity', 'around', 'seems', 'performing', 'like']",0
"['needed', 'replace', 'old', 'want', 'spend', 'money', 'required', 'new', 'one', 'one', 'easy', 'purchase', 'came', 'quickly', 'fairly', 'easy', 'set', 'make', 'sure', 'current', 'backup', 'transfer', 'minor', 'ding', 'nothing', 'crazy', 'little', 'bummed', 'battery', 'life', 'hopeful', 'would', 'higher', 'still', 'improvement', 'old']",2
"['recommend', 'buy', 'buy', 'carrier', 'going', 'use', 'like', 'sprint', 'locked', 'got', 'locked', 'cricket', 'far', 'pretty', 'good', 'super', 'easy', 'set', 'great', 'price', 'semi', 'problem', 'max', 'battery', 'capacity', 'eh', 'price', 'complain']",0
"['shipping', 'super', 'quick', 'good', 'battery', 'health', 'nice', 'ordered', 'excellent', 'condition', 'pretty', 'deep', 'smaller', 'scratch', 'middle', 'screen', 'also', 'cleaned', 'well', 'get', 'pay', 'buy', 'refurbished', 'overall', 'satisfied', 'purchase', 'would', 'buy', 'seller']",0
"['took', 'little', 'bit', 'get', 'happy', 'purchase', 'scratch', 'crack', 'downside', 'battery', 'price', 'think', 'worth', 'nothing', 'wrong', 'aside', 'make', 'purchase']",3
"['got', 'one', 'classified', 'see', 'damage', 'look', 'like', 'new', 'setting', 'went', 'perfectly', 'absolutely', 'issue', 'e', 'sim', 'installed', 'without', 'problem', 'battery', 'expected', 'old', 'year', 'half', 'old', 'though', 'last', 'longer', 'old']",0
"['seller', 'great', 'send', 'back', 'first', 'thought', 'defective', 'turned', 'significant', 'conflict', 'portability', 'old', 'information', 'upgrade', 'cut', 'set', 'transfer', 'old', 'material', 'first', 'wanted', 'upgrade', 'software', 'prior', 'transfer', 'upgrade', 'spooled', 'around', 'hr', 'portability', 'function', 'wifi', 'cloud', 'simply', 'would', 'work', 'couldnt', 'figure', 'sent', 'back', 'thinking', 'defective', 'turn', 'fine', 'got', 'new', 'model', 'issue', 'thinking', 'point', 'coincidence', 'must', 'software', 'conflict', 'much', 'tinkering', 'workaround', 'situation', 'aside', 'upgrading', 'wife', 'ancient', 'xe', 'think', 'happens', 'lot', 'phone', 'matter', 'model', 'cut', 'new', 'opt', 'set', 'new', 'old', 'ie', 'transfer', 'old', 'data', 'yet', 'go', 'setting', 'opt', 'update', 'software', 'erase', 'keep', 'remove', 'impediment', 'port', 'keep', 'information', 'give', 'option', 'erase', 'ok', 'put', 'back', 'keep', 'boot', 'back', 'opt', 'set', 'old', 'likely', 'older', 'prompt', 'first', 'set', 'wifi', 'cloud', 'make', 'sure', 'backed', 'old', 'cloud', 'set', 'opt', 'option', 'use', 'direct', 'cabling', 'transfer', 'pain', 'insists', 'using', 'proprietary', 'cabling', 'mean', 'first', 'port', 'everything', 'onto', 'laptop', 'transfer', 'safer', 'quicker', 'would', 'unless', 'cloud', 'issue', 'bad', 'worked', 'great', 'since', 'workaround', 'want', 'compliment', 'seller', 'quick', 'send', 'replacement', 'u', 'communicative', 'issue', 'hope', 'workaround', 'help', 'others', 'utterly', 'baffling', 'u', 'need', 'get', 'together', 'portability', 'issue', 'since', 'released', 'new', 'model', 'apparently', 'issue', 'number', 'older', 'newer', 'transfer', 'disappointing', 'catch']",2
"['love', 'mine', 'come', 'charger', 'cord', 'worked', 'well', 'far', 'week', 'durable', 'great', 'price', 'good', 'condition', 'price', 'paid', 'gig', 'one', 'little', 'scratch', 'top', 'camera', 'case', 'even', 'tell', 'happy', 'purchase', 'recommend']",1
"['came', 'unlocked', 'jamaica', 'battery', 'percent', 'daughter', 'absolutely', 'loved', 'minor', 'visible', 'scratch', 'bk', 'u', 'get', 'u', 'pay', 'function', 'well']",0
"['overall', 'work', 'great', 'look', 'brand', 'new', 'complaint', 'restart', 'one', 'time', 'froze', 'trying', 'set', 'work', 'well']",2
"['far', 'good', 'take', 'carrier', 'yet', 'get', 'number', 'switched', 'super', 'nice', 'price', 'cant', 'beat', 'saved', 'alot', 'money', 'buy', 'purchasing', 'amazon', 'bayshine', 'trading', 'would', 'recommend', 'anyone', 'thank', 'much']",2
"['happy', 'far', 'arrived', 'excellent', 'condition', 'tiny', 'scratch', 'really', 'noticeable', 'unless', 'really', 'looking', 'color', 'exactly', 'pictured', 'hold', 'charge', 'issue', 'getting', 'hot', 'played', 'game', 'watched', 'video', 'temperature', 'remained', 'feel', 'good', 'purchase']",1
"['item', 'good', 'condition', 'visible', 'scratch', 'side', 'think', 'get', 'excellent', 'category', 'available', 'prefer', 'premium']",0
