tokenized,sentiment,sentiment_nb,sentiment_svm,sentiment_vader,sentiment_textblob
"['really', 'fast', 'shipping', 'option', 'great', 'break', 'phone', 'phone', 'excellent', 'condition', 'describe', 'screen', 'one', 'needle', 'pin', 'scratch', 'literally', 'teen', 'tiny', 'dot', 'less', 'speak', 'dust', 'one', 'scratch', 'that', '’', 's', 'less', 'mm', 'incredible', 'expect', 'wear', 'tear', 'way', 'well', 'expectation', 'experience', 'buying', 'refurbish', 'phone', 'i', '’', 'm', 'please', 'it', '’', 's', 'describe', 'well', 'purchase', 'seller', 'great', 'price', 'review', 'page', 'way', 'work', 'like', 'brand', 'new', 'battery', 'life', 'come', 'charger', 'box', 'chord', 'nice', 'include', 'amazing', 'deal', 'already', 'would', 'recommend', 'anyone', 'buy', 'phone', 'eye', 'another', 'family', 'thank', 'much', 'seller']",positive,positive,positive,positive,positive
"['hardly', 'believe', 'phone', 'refurbish', 'seem', 'brand', 'new', 'buy', 'refurbish', 'electronics', 'usually', 'hang', 'phone', 'quit', 'work', 'buy', 'new', 'one', 'wireless', 'provider', 'time', 'want', 'unlocked', 'phone', 'look', 'new', 'function', 'perfectly', 'reasonably', 'price', 'unlocked', 'phone', 'allow', 'change', 'wireless', 'provider', 'set', 'sim', 'card', 'bit', 'complicated', 'think', 'easy', 'think', 'something', 'work', 'first', 'maybe', 'depend', 'wireless', 'provider', 'though', 'techsavvy', 'daughter', 'help', 'setup', 'work', 'great']",positive,positive,positive,positive,positive
"['iphone', 'day', 'worst', 'battery', 'life', 'iphone', 'ever', 'own', 'own', 'phone', 'since', 'first', 'version', 'release', 'year', 'gothic', 'second', 'iphone', 'buy', 'renew', 'store', 'first', 'one', 'buy', 'december', 'th', 'could', 'happier', 'phone', 'arrive', 'brand', 'new', 'condition', 'perform', 'flawlesslyon', 'recommendation', 'friend', 'check', 'battery', 'health', 'charge', 'month', 'thrill', 'absolutely', 'love', 'phone', 'never', 'single', 'problem', 'unfortunately', 'july', 'year', 'drop', 'beyond', 'repair', 'immediately', 'go', 'back', 'amazon', 'renew', 'store', 'purchase', 'another', 'iphone', 'experience', 'first', 'one', 'fantastic', 'arrive', 'new', 'look', 'condition', 'exactly', 'like', 'one', 'buy', 'december', 'scratch', 'anything', 'really', 'noticeable', 'seem', 'worn', 'little', 'bit', 'fully', 'understood', 'renew', 'phone', 'cosmetic', 'issue', 'important', 'include', 'color', 'iphone', 'case', 'can', 'not', 'tell', 'color', 'anywayunfortunately', 'look', 'battery', 'health', 'charge', 'first', 'get', 'phone', 'day', 'ago', 'look', 'two', 'week', 'ago', 'say', 'think', 'ok', 'renew', 'phone', 'go', 'battery', 'life', 'live', 'thatwell', 'look', 'today', 'battery', 'health', 'charge', 'phone', 'die', 'quicklyafter', 'fully', 'charge', 'dy', 'within', 'hour', 'completely', 'set', 'optimize', 'battery', 'life', 'lose', 'email', 'message', 'middle', 'compose', 'phone', 'dy', 'middle', 'important', 'phone', 'call', 'phone', 'dy', 'simply', 'fully', 'charge', 'hour', 'think', 'would', 'fine', 'hour', 'come', 'total', 'shoulder', 'replacement', 'surgery', 'week', 'ago', 'phone', 'doctor', 'office', 'yesterday', 'first', 'post', 'appointment', 'phone', 'die', 'middle', 'iti', 'think', 'hour', 'leave', 'phone', 'would', 'diethen', 'plug', 'wait', 'come', 'back', 'alive', 'could', 'call', 'doctor', 'back', 'hopefully', 'wait', 'half', 'hour', 'lose', 'place', 'linen', 'top', 'also', 'issue', 'touchscreen', 'glitch', 'sometimes', 'tap', 'thing', 'several', 'time', 'get', 'work', 'say', 'iphone', 'owneruser', 'since', 'first', 'version', 'come', 'year', 'ago', 'always', 'love', 'phone', 'continue', 'iphone', 'user', 'rest', 'lifethis', 'way', 'reflection', 'apple', 'phone', 'whatsoeverthey', 'amaze', 'fantastic', 'piece', 'technology', 'think', 'get', 'bad', 'one', 'first', 'time', 'lifeluckily', 'check', 'november', 'th', 'return', 'phone', 'return', 'problem', 'meantime', 'expect', 'buy', 'new', 'one', 'get', 'ship', 'transfer', 'information', 'phone', 'new', 'one', 'return', 'onethat', 'extremely', 'hard', 'financially', 'actually', 'still', 'pay', 'phone', 'amazon', 'prime', 'american', 'express', 'career', 'return', 'phone', 'wait', 'refund', 'issue', 'buy', 'another', 'phone', 'wait', 'send', 'mei', 'would', 'phone', 'least', 'week', 'interim', 'know', 'day', 'practical', 'impossibility', 'also', 'several', 'medical', 'issueslike', 'say', 'total', 'shoulder', 'replacement', 'surgery', 'last', 'monday', 'september', 'th', 'several', 'upcoming', 'follow', 'appointment', 'physical', 'therapy', 'appointment', 'also', 'several', 'unrelated', 'medical', 'issue', 'definitely', 'require', 'phone', 'know']",negative,negative,negative,positive,positive
"['order', 'phone', 'excellent', 'condition', 'excellent', 'like', 'describe', 'besides', 'little', 'dent', 'bottom', 'corner', 'phone', 'obviously', 'doesn', '’', 't', 'interfere', 'functionality', 'phone', 'wise', 'look', 'flawless', 'upon', 'box', 'single', 'scratch', 'battery', 'life', 'receive', 'really', 'good', 'battery', 'life', 'beyond', 'expect', 'charge', 'really', 'fast', 'charge', 'cable', 'i', '’', 've', 'already', 'lay', 'around', 'old', 'previous', 'phone', 'problem', 'connect', 'phone', 'courier', 'honestly', 'complaints', 'end', 'it', '’', 's', 'major', 'steal', 'pleased', 'purchase', 'seller', 'you', '’', 're', 'think', 'purchase', 'phone', 'specific', 'seller', 'highly', 'recommend', 'win', '’', 't', 'disappoint']",positive,positive,positive,positive,positive
"['good', 'far', 'phone', 'battery', 'health', 'phone', 'condition', 'good', 'scratch', 'phone', 'seem', 'work', 'well', 'screen', 'look', 'great', 'thing', 'would', 'say', 'make', 'difference', 'camera', 'little', 'visible', 'wear', 'tear', 'scar', 'order', 'review', 'great', 'glad']",positive,positive,positive,positive,positive
"['price', 'quality', 'great', 'phone', 'size', 'perfect', 'screen', 'work', 'great', 'charge', 'fine', 'good', 'color', 'brightness', 'would', 'get', 'refurbish', 'phone', 'amazon']",positive,positive,positive,positive,positive
"['great', 'phone', 'great', 'condition', 'battery', 'health', 'bit', 'low', 'great', 'condition', 'work', 'well', 'trouble', 'set', 'apple', 'id', 'upgrade', 'iphone', 'previously', 'disconnect', 'previous', 'line', 'longer', 'number', 'unfortunately', 'old', 'number', 'still', 'connect', 'every', 'time', 'would', 'try', 'use', 'apple', 'id', 'connect', 'iphone', 'would', 'send', 'confirmation', 'code', 'phone', 'number', 'way', 'use', 'phone', 'number', 'create', 'new', 'apple', 'id', 'email', 'everything', 'work', 'fine', 'purchase', 'yellow', 'option', 'love', 'phone', 'color', 'cute']",positive,positive,positive,positive,positive
"['read', 'review', 'decide', 'go', 'amazon', 'renew', 'premium', 'phone', 'look', 'like', 'new', 'without', 'scratch', 'unusual', 'wear', 'transfer', 'information', 'old', 'phone', 'one', 'update', 'apps', 'phone', 'work', 'flawless', 'find', 'two', 'thing', 'wrong', 'really', 'wrong', 'come', 'kind', 'instruction', 'battery', 'life', 'percent', 'hop', 'high', 'battery', 'life', 'pretty', 'satisfied', 'purchase']",positive,positive,positive,positive,positive
"['really', 'really', 'satisfied', 'purchase', 'destroy', 'iphone', 'didn', '’', 't', 'want', 'spend', 'money', 'new', 'one', 'look', 'best', 'quality', 'price', 'could', 'find', 'take', 'best', 'buy', 'verify', 'apple', 'part', 'kind', 'condensation', 'something', 'inside', 'camera', 'lens', 'doesn', '’', 't', 'seem', 'interfere', 'photo', 'use', 'guys', 'future']",positive,positive,positive,positive,positive
"['far', 'good…the', 'thing', 'bug', 'fact', 'can', '’', 't', 'warrant', 'water', 'resistance', 'new', 'apple', 'certify', 'phone', 'would', 'havewhich', 'mean', 'absolutely', 'work', 'renew', 'iphone', 'third', 'party', 'gender', 'day', 'fine', 'battery', 'life', '…charged', 'last', 'night', 'around', 'clock', 'fully', 'charge', 'it', '’', 's', 'hmwith', 'little', 'mild', 'use', 'camera', 'act', 'little', 'scan', 'id', 'identity', 'verificationbut', 'around', 'seem', 'perform', 'like', 'phone']",positive,positive,positive,positive,positive
